country,cost
Bermuda,55246.272
Switzerland,46396.944
Cayman Islands,46190.183999999994
Us Virgin Islands,42427.152
Bahamas,36596.520000000004
Iceland,35438.664
Singapore,33867.288
Barbados,32833.488000000005
Norway,32750.784
Denmark,31096.703999999998
Jersey,30724.536
United States,30145.608000000007
Australia,30104.256
Hong Kong (China),29566.68
Canada,28284.768000000004
New Zealand,28202.064
Guernsey,27912.600000000002
Israel,27788.544
Austria,27623.136
Ireland,27499.08
France,27292.32
Finland,27085.56
Luxembourg,27002.856000000003
Puerto Rico,26630.688000000002
South Korea,26630.688000000002
Netherlands,26589.336000000003
United Kingdom,26341.224
Belgium,26051.760000000002
Germany,25927.703999999998
Sweden,25720.943999999996
Isle Of Man,24728.496
Italy,24356.328
United Arab Emirates,23901.456
Cyprus,23611.992000000002
Macao (China),23239.824000000004
Yemen,23198.472
Uruguay,22867.655999999995
Malta,22784.952
Qatar,22743.600000000002
Greece,22412.784000000003
Bahrain,22206.024
Costa Rica,22164.672
Trinidad And Tobago,22164.672
Jamaica,21957.912
Estonia,21916.56
Latvia,21254.928
Japan,20965.464
Brunei,20882.760000000002
Maldives,20676.0
Slovenia,20386.536
Taiwan,20262.48
Czech Republic,20097.072
Lithuania,20014.368000000002
Spain,20014.368000000002
Belize,19848.96
Slovakia,19807.608
Panama,19600.847999999998
Saudi Arabia,19600.847999999998
Croatia,19394.088
Portugal,19270.032
Lebanon,19145.976
Guyana,19104.624000000003
Cuba,18856.512
Ivory Coast,18484.344
Oman,18360.288
Senegal,18194.88
Mexico,18112.175999999996
Kuwait,17946.768
Hungary,17946.768
Palestine,17905.415999999997
Ethiopia,17822.712
Jordan,17781.36
Mozambique,17781.36
Poland,17326.488
El Salvador,16995.672
Montenegro,16912.968
Albania,16871.615999999998
Chile,16499.448
Mauritius,16458.095999999998
Zambia,16416.744000000002
Cameroon,16375.392
Venezuela,16292.687999999998
Dominican Republic,16127.28
Romania,16044.575999999997
Bulgaria,16003.224000000002
Armenia,15961.872
Myanmar,15961.872
Cambodia,15920.52
Serbia,15837.815999999997
Guatemala,15589.704000000002
Honduras,15424.295999999998
Georgia,15382.944000000003
Zimbabwe,15300.24
Thailand,14886.72
Brazil,14555.904000000002
Fiji,14390.496
Bosnia And Herzegovina,14349.144000000002
Moldova,14307.792000000001
China,14101.032
North Macedonia,14101.032
Turkey,13976.975999999999
South Africa,13976.975999999999
Ecuador,13894.272
Philippines,13894.272
Nicaragua,13894.272
Kazakhstan,13852.920000000002
Sri Lanka,13728.864000000001
Mongolia,13522.104000000001
Kosovo (Disputed Territory),12943.176
Azerbaijan,12860.471999999998
Peru,12777.768
Namibia,12736.416
Vietnam,12736.416
Colombia,12653.712
Malaysia,12612.36
Uganda,12571.008000000002
Iraq,12488.304
Botswana,12446.951999999997
Morocco,12364.248
Algeria,12198.84
Russia,12198.84
Egypt,12033.432000000003
Somalia,11992.079999999998
Tunisia,11868.024
Ukraine,11826.672000000002
Indonesia,11785.32
Bolivia,11702.616000000002
Argentina,11495.856
Paraguay,11413.152000000002
Uzbekistan,11206.392000000002
Belarus,11206.392000000002
Nepal,11123.687999999998
Iran,11123.687999999998
Kyrgyzstan,11123.687999999998
Rwanda,10875.576000000001
Tanzania,10751.52
Ghana,10751.52
Madagascar,10420.704000000002
Syria,10338.0
Bangladesh,10296.648
Kenya,10255.295999999998
Afghanistan,9428.256
India,9180.144
Libya,8766.624
Nigeria,7980.936
Pakistan,7650.12
