country,cost_index
Switzerland,6395.400000000001
Cayman Islands,6366.9
Us Virgin Islands,5848.2
Bahamas,5044.5
Iceland,4884.9
Singapore,4668.3
Barbados,4525.8
Norway,4514.400000000001
Denmark,4286.4
Jersey,4235.1
United States,4155.3
Australia,4149.599999999999
Hong Kong (China),4075.5
Canada,3898.8
New Zealand,3887.4
Guernsey,3847.5000000000005
Israel,3830.4
Austria,3807.5999999999995
Ireland,3790.5
France,3762.0
Finland,3733.5
Luxembourg,3722.1000000000004
Puerto Rico,3670.8
South Korea,3670.8
Netherlands,3665.1
United Kingdom,3630.9
Belgium,3591.0
Germany,3573.9
Sweden,3545.4
Isle Of Man,3408.6
Italy,3357.2999999999997
United Arab Emirates,3294.6
Cyprus,3254.7000000000003
Macao (China),3203.4
Yemen,3197.7000000000003
Uruguay,3152.0999999999995
Malta,3140.7000000000003
Qatar,3135.0000000000005
Greece,3089.4
Bahrain,3060.9
Costa Rica,3055.2000000000003
Trinidad And Tobago,3055.2000000000003
Jamaica,3026.7000000000003
Estonia,3021.0
Latvia,2929.8
Japan,2889.9
Brunei,2878.5
Maldives,2850.0
Slovenia,2810.1
Taiwan,2793.0
Czech Republic,2770.2
Lithuania,2758.7999999999997
Spain,2758.7999999999997
Belize,2736.0
Slovakia,2730.2999999999997
Panama,2701.7999999999997
Saudi Arabia,2701.7999999999997
Croatia,2673.2999999999997
Portugal,2656.2000000000003
Lebanon,2639.1
Guyana,2633.4
Cuba,2599.2000000000003
Ivory Coast,2547.9
Oman,2530.8
Senegal,2508.0
Mexico,2496.6
Kuwait,2473.8
Hungary,2473.8
Palestine,2468.1
Ethiopia,2456.7
Jordan,2451.0
Mozambique,2451.0
Poland,2388.2999999999997
El Salvador,2342.7000000000003
Montenegro,2331.2999999999997
Albania,2325.6
Chile,2274.2999999999997
Mauritius,2268.6
Zambia,2262.9
Cameroon,2257.2000000000003
Venezuela,2245.7999999999997
Dominican Republic,2223.0
Romania,2211.6
Bulgaria,2205.9
Armenia,2200.2000000000003
Myanmar,2200.2000000000003
Cambodia,2194.5
Serbia,2183.1
Guatemala,2148.9
Honduras,2126.1
Georgia,2120.4
Zimbabwe,2109.0
Thailand,2052.0
Brazil,2006.4
Fiji,1983.6
Bosnia And Herzegovina,1977.9
Moldova,1972.2000000000003
China,1943.7
North Macedonia,1943.7
Turkey,1926.6
South Africa,1926.6
Ecuador,1915.2
Philippines,1915.2
Nicaragua,1915.2
Kazakhstan,1909.5000000000002
Sri Lanka,1892.4
Mongolia,1863.9
Kosovo (Disputed Territory),1784.1
Azerbaijan,1772.7
Peru,1761.3
Namibia,1755.6
Vietnam,1755.6
Colombia,1744.2
Malaysia,1738.5
Uganda,1732.8
Iraq,1721.3999999999999
Botswana,1715.7
Morocco,1704.3
Algeria,1681.5
Russia,1681.5
Egypt,1658.7000000000003
Somalia,1652.9999999999998
Tunisia,1635.8999999999999
Ukraine,1630.2000000000003
Indonesia,1624.4999999999998
Bolivia,1613.1000000000001
Argentina,1584.6000000000001
Paraguay,1573.2
Uzbekistan,1544.7
Belarus,1544.7
Nepal,1533.2999999999997
Iran,1533.2999999999997
Kyrgyzstan,1533.2999999999997
Rwanda,1499.1000000000001
Tanzania,1482.0
Ghana,1482.0
Madagascar,1436.4
Syria,1425.0
Bangladesh,1419.3
Kenya,1413.6
Afghanistan,1299.6000000000001
India,1265.4
Libya,1208.3999999999999
Nigeria,1100.1000000000001
Pakistan,1054.5
